field,year,papers,repos,questions,papers_growth,papers_z,papers_burst,repos_growth,repos_z,repos_burst,questions_growth,questions_z,questions_burst,csi,csi_slope,graph_degree,graph_aa_max,graph_conductance_max,target
FinTechDigitalFinance,2017,722911,2183,2655,0.10309821071617131,-0.9632151007774031,0.0,4.148584905660377,-0.8333680032433711,0.0,-0.08700137551581844,0.8430030324936651,0.0,0.166463722925457,0.166463722925457,4.0,2.164042561333445,1.1622776830213057,0
FinTechDigitalFinance,2018,833796,5150,2182,0.15338679311837833,-0.7802543092779087,0.0,1.3591387998167659,0.1388450194136887,0.0,-0.17815442561205275,0.32892136605384575,0.0,0.43549423681461247,0.26903051388915544,4.0,2.164042561333445,1.1622776830213057,0
FinTechDigitalFinance,2019,963027,3258,1664,0.1549911489141229,-0.5670225281869482,0.0,-0.367378640776699,-0.4811169080777697,0.0,-0.2373968835930339,-0.23406870416988884,0.0,0.11699261887977985,-0.3185016179348326,4.0,2.164042561333445,1.1622776830213057,1
FinTechDigitalFinance,2020,1198750,3726,2013,0.24477299182681267,-0.17807842704941546,0.0,0.14364640883977908,-0.32776480339172187,0.0,0.20973557692307687,0.1452431385098088,0.0,0.3128535718823426,0.19586095300256273,4.0,2.164042561333445,1.1622776830213057,1
FinTechDigitalFinance,2021,1363951,6155,2158,0.13781105318039621,0.09450402969863861,0.0,0.6519055287171229,0.4681588339638556,0.0,0.07203179334326881,0.30283688403575765,0.0,0.6777359469060377,0.3648823750236951,4.0,2.164042561333445,1.1622776830213057,0
FinTechDigitalFinance,2022,1553447,8349,2206,0.13893167716435562,0.40717335508970315,0.0,0.35645816409423237,1.1870787435390457,1.0,0.022242817423540284,0.35500584807193386,0.0,0.9972691377254783,0.31953319081944065,4.0,2.164042561333445,1.1622776830213057,0
FinTechDigitalFinance,2023,1975486,6008,1081,0.271679046662036,1.1035397660889827,1.0,-0.28039286142052944,0.4199905446714431,0.0,-0.5099728014505893,-0.8677042465259454,0.0,0.5511043464454585,-0.44616479128001985,4.0,2.164042561333445,1.1622776830213057,1
FinTechDigitalFinance,2024,2057287,5881,492,0.0414080383257589,1.238511815558705,1.0,-0.021138482023968064,0.37837576412629764,0.0,-0.5448658649398705,-1.5078609093865238,0.0,0.4154041811755513,-0.1357001652699072,4.0,2.164042561333445,1.1622776830213057,0
FinTechDigitalFinance,2025,2460673,10672,132,0.1960766776827929,1.9041006854673044,1.0,0.8146573711953748,1.948268784534108,1.0,-0.7317073170731707,-1.8991281396578452,0.0,1.0,0.5845958188244487,4.0,2.164042561333445,1.1622776830213057,0
QuantitativeFinance,2015,368865,12,84,,-1.211045340092369,0.0,,-0.6876877264969606,0.0,,-1.0182210222447912,0.0,0.0,,4.0,2.164042561333445,1.1404068969726495,1
QuantitativeFinance,2016,410099,44,181,0.1117861548262915,-1.094511946589136,0.0,2.6666666666666665,-0.6444539205089395,0.0,1.1547619047619047,0.1123115799770528,0.0,0.16673155112541316,0.16673155112541316,4.0,2.164042561333445,1.1404068969726495,0
QuantitativeFinance,2017,453159,188,149,0.10499903681793898,-0.9728180065336184,0.0,3.2727272727272725,-0.44990179356284454,0.0,-0.17679558011049723,-0.2606476290033493,0.0,0.1709541047708667,0.004222553645453542,4.0,2.164042561333445,1.1404068969726495,0
QuantitativeFinance,2018,518373,206,158,0.14390975353021784,-0.7885135799943584,0.0,0.0957446808510638,-0.4255827776945827,0.0,0.06040268456375841,-0.15575285147761123,0.0,0.20589450627135952,0.034940401500492824,4.0,2.164042561333445,1.1404068969726495,1
QuantitativeFinance,2019,591436,223,152,0.14094676998994937,-0.5820267164951413,0.0,0.08252427184466016,-0.4026148182634465,0.0,-0.03797468354430378,-0.22568270316143663,0.0,0.21970000655066518,0.01380550027930566,4.0,2.164042561333445,1.1404068969726495,1
QuantitativeFinance,2020,758488,319,274,0.28245152476345714,-0.10991301296159875,0.0,0.4304932735426008,-0.27291340029938316,0.0,0.8026315789473684,1.1962242810763464,1.0,0.47401702728962736,0.2543170207389622,4.0,2.164042561333445,1.1404068969726495,0
QuantitativeFinance,2021,846103,369,312,0.11551270422208404,0.13769995865856344,0.0,0.15673981191222564,-0.2053605784431002,0.0,0.13868613138686126,1.639113341740574,1.0,0.5678551101204863,0.09383808283085893,4.0,2.164042561333445,1.1404068969726495,0
QuantitativeFinance,2022,938823,417,288,0.10958476686644536,0.3997404166694227,0.0,0.13008130081300817,-0.14050986946106855,0.0,-0.07692307692307687,1.3593939350052724,1.0,0.5682534530323833,0.00039834291189699833,4.0,2.164042561333445,1.1404068969726495,0
QuantitativeFinance,2023,1194060,428,178,0.2718691382720704,1.1210779962781123,1.0,0.026378896882494063,-0.1256482486526863,0.0,-0.3819444444444444,0.0773466541351401,0.0,0.4671440948022145,-0.10110935823016876,4.0,2.164042561333445,1.1404068969726495,1
QuantitativeFinance,2024,1241242,744,76,0.03951392727333625,1.2544213190765199,1.0,0.7383177570093458,0.301285585479022,0.0,-0.5730337078651686,-1.1114608244898916,0.0,0.41656826057199975,-0.05057583423021478,4.0,2.164042561333445,1.1404068969726495,0
QuantitativeFinance,2025,1450526,2781,33,0.16860853886671578,1.8458889119836024,1.0,2.7379032258064515,3.05338754790399,1.0,-0.5657894736842105,-1.612624761557307,0.0,1.0,0.5834317394280002,4.0,2.164042561333445,1.1404068969726495,0
